Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),ET2 (mm/day),Ra (mm/day),Latitude,Longitude,Station
2001-01-01,0.0144154,24.4,16.7,20.6,20.549999999999997,20.6,2.539657988487532,,10.362649566406088,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-02,0.313828,24.1,17.9,21.0,21.0,21.0,2.306779250792975,,10.381273429785647,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-03,1.6027,24.1,17.8,21.0,20.950000000000003,21.0,2.329797950944753,,10.401319157843334,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-04,0.232902,24.5,16.8,20.6,20.65,20.6,2.5543936182892644,,10.422775838710407,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-05,0.0,24.5,16.3,20.4,20.4,20.4,2.6280452295863994,,10.445631726586946,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-06,0.0,25.1,15.7,20.4,20.4,20.4,2.820308336554913,,10.469874246536678,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-07,0.0,25.4,15.6,20.5,20.5,20.5,2.8942921519774805,,10.495489999782365,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-08,0.0,25.5,15.8,20.6,20.65,20.6,2.8944257145139622,,10.522464769519493,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-09,0.0,25.5,17.1,21.3,21.3,21.3,2.74997628779323,,10.55078352726702,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-10,0.0105578,25.2,17.6,21.4,21.4,21.4,2.6298079594068824,,10.580430439773552,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-11,0.00274204,25.7,16.6,21.2,21.15,21.2,2.871344949424235,,10.611388876497802,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-12,0.0435433,24.8,17.1,21.0,20.950000000000003,21.0,2.6356950383438855,,10.643641417681824,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-13,0.198981,24.0,16.9,20.4,20.45,20.4,2.4996345867881695,,10.677169863035456,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
2001-01-14,0.0513378,24.3,16.4,20.3,20.35,20.3,2.6383663948753635,,10.711955241049886,20.796725,-156.359714,Hawaii Seed Pro LLC Farm
